level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	517	421	-1	
2	1	1	0	0	0	44	92	467	10	-1	
3	1	1	1	0	0	44	92	467	10	-1	
4	1	1	1	1	0	44	92	467	10	-1	
5	1	1	1	1	1	44	92	467	10	95.000000	 
2	1	2	0	0	0	148	124	231	5	-1	
3	1	2	1	0	0	148	124	231	5	-1	
4	1	2	1	1	0	148	124	231	5	-1	
5	1	2	1	1	1	148	124	231	5	95.000000	 
2	1	3	0	0	0	21	22	489	133	-1	
3	1	3	1	0	0	21	22	489	133	-1	
4	1	3	1	1	0	24	22	477	28	-1	
5	1	3	1	1	1	24	18	47	36	29.010498	goed
5	1	3	1	1	2	80	47	110	2	0.000000	மகவை...
5	1	3	1	1	3	230	18	51	36	12.654663	அமக
5	1	3	1	1	4	305	22	38	17	30.215538	OI
5	1	3	1	1	5	364	31	30	13	25.693748	பவா
5	1	3	1	1	6	460	30	41	12	17.322311	தழுக்கா
4	1	3	1	2	0	118	47	366	19	-1	
5	1	3	1	2	1	118	50	18	12	83.296387	29,
5	1	3	1	2	2	143	47	78	19	67.661621	சேந்தமங்தலழ்‌
5	1	3	1	2	3	230	41	56	29	93.302429	கிராமத்தில்‌
5	1	3	1	2	4	290	41	73	29	89.222801	செட்டில்மெண்டு
5	1	3	1	2	5	370	41	37	29	11.040756	mami
5	1	3	1	2	6	416	41	34	29	81.245880	நபர்கள்‌
5	1	3	1	2	7	456	47	28	9	96.616478	சிட்டா
4	1	3	1	3	0	74	68	229	30	-1	
5	1	3	1	3	1	74	68	40	30	20.167839	Onin
5	1	3	1	3	2	215	79	55	12	25.396301	கடையம்‌
5	1	3	1	3	3	287	89	16	6	50.952305	ட
4	1	3	1	4	0	21	85	294	35	-1	
5	1	3	1	4	1	21	102	3	2	68.007355	-
5	1	3	1	4	2	100	85	37	35	27.611458	aes
5	1	3	1	4	3	200	106	24	2	83.936752	=
5	1	3	1	4	4	313	104	2	2	66.907166	்‌
4	1	3	1	5	0	34	101	394	34	-1	
5	1	3	1	5	1	34	117	39	9	6.827072	வருடம்‌
5	1	3	1	5	2	83	103	9	32	87.180504	|
5	1	3	1	5	3	99	115	39	11	30.670685	opines
5	1	3	1	5	4	190	109	15	9	62.013283	=
5	1	3	1	5	5	303	101	39	34	44.638729	end
5	1	3	1	5	6	390	112	38	10	22.142899	moose
4	1	3	1	6	0	26	126	458	15	-1	
5	1	3	1	6	1	26	130	55	11	26.397232	ines
5	1	3	1	6	2	84	113	6	34	87.491394	|
5	1	3	1	6	3	97	129	43	10	31.603783	cone
5	1	3	1	6	4	159	129	52	12	3.385963	[அஸ்தி
5	1	3	1	6	5	217	113	4	34	47.726120	|
5	1	3	1	6	6	228	129	28	11	49.639553	திகல
5	1	3	1	6	7	272	128	52	11	28.218117	RARE]
5	1	3	1	6	8	340	127	29	11	26.021225	தில]
5	1	3	1	6	9	387	126	36	11	49.237892	பதிலை.
5	1	3	1	6	10	438	113	12	34	51.325169	|
5	1	3	1	6	11	465	128	19	8	51.325169	oe
4	1	3	1	7	0	45	140	465	15	-1	
5	1	3	1	7	1	45	146	18	9	49.141830	ய)
5	1	3	1	7	2	107	145	22	10	34.762756	fe)
5	1	3	1	7	3	183	145	12	10	74.471664	3)
5	1	3	1	7	4	232	145	25	10	24.628441	Las)
5	1	3	1	7	5	263	131	8	29	73.983681	|
5	1	3	1	7	6	296	143	12	9	50.369606	cs)
5	1	3	1	7	7	326	131	8	29	35.553398	|
5	1	3	1	7	8	345	143	20	9	35.553398	cor
5	1	3	1	7	9	377	131	8	29	78.154114	|
5	1	3	1	7	10	399	142	20	9	47.432598	or
5	1	3	1	7	11	465	140	45	13	7.269699	a)
2	1	4	0	0	0	28	150	472	10	-1	
3	1	4	1	0	0	28	150	472	10	-1	
4	1	4	1	1	0	28	150	472	10	-1	
5	1	4	1	1	1	28	150	472	10	95.000000	 
2	1	5	0	0	0	20	176	489	10	-1	
3	1	5	1	0	0	20	176	489	10	-1	
4	1	5	1	1	0	20	176	489	10	-1	
5	1	5	1	1	1	20	176	489	10	95.000000	 
2	1	6	0	0	0	92	201	43	10	-1	
3	1	6	1	0	0	92	201	43	10	-1	
4	1	6	1	1	0	92	201	43	10	-1	
5	1	6	1	1	1	92	201	43	10	34.704483	பண்பி
2	1	7	0	0	0	20	205	424	6	-1	
3	1	7	1	0	0	20	205	424	6	-1	
4	1	7	1	1	0	20	205	424	6	-1	
5	1	7	1	1	1	20	205	424	6	95.000000	 
2	1	8	0	0	0	20	208	424	3	-1	
3	1	8	1	0	0	20	208	424	3	-1	
4	1	8	1	1	0	20	208	424	3	-1	
5	1	8	1	1	1	20	208	424	3	95.000000	 
2	1	9	0	0	0	20	204	456	9	-1	
3	1	9	1	0	0	20	204	456	9	-1	
4	1	9	1	1	0	20	204	456	9	-1	
5	1	9	1	1	1	20	204	456	9	95.000000	 
2	1	10	0	0	0	20	207	424	6	-1	
3	1	10	1	0	0	20	207	424	6	-1	
4	1	10	1	1	0	20	207	424	6	-1	
5	1	10	1	1	1	20	207	424	6	95.000000	 
2	1	11	0	0	0	20	207	424	5	-1	
3	1	11	1	0	0	20	207	424	5	-1	
4	1	11	1	1	0	20	207	424	5	-1	
5	1	11	1	1	1	20	207	424	5	95.000000	 
2	1	12	0	0	0	155	133	281	97	-1	
3	1	12	1	0	0	155	133	281	47	-1	
